model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov5s_seg,263,175,214,99,7611485.0,26360524800.0,13211780400.0,0.0,26360524800.0,13211780400.0,,92.34,512,1024,128,256.0,131.5,post_placement,95,389,108.21 Megabytes/sec,108.21 Megabytes/sec,591.42 Megabytes/sec,591.42 Megabytes/sec,18.40,95,256,94,160,10,28,1420992,567808,512,1,1,64,False,False,True,False,False,0,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.05652239839711411,0.08831526850259004,,,,0.513671875,0.8489946260260208,0.9801165926999603,0.9782427179641533,0.2624317104235802,0.9125475285171103,0.20486800692313178,0.09603187824521801,,no runtime data,no runtime data,N/A,0.5885795366074565,0.9196453314916578,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,1228800.0,6716000.0,0.0,0.0,0.0,0.0
yolov5s_seg_context_0,0.056522398397114114,0.08831526850259006,,0.734375,0.3798828125,0.513671875,0.8489946260260208,0.9801165926999603,0.9782427179641532,0.2624317104235802,0.9125475285171103,0.20486800692313178,0.09603187824521803,,92.33859732592039,0.0108297075,0.0075700275,0.5885795366074565,0.9196453314916578,,single context,,,,,1228800.0,6716000.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,640,640,3,3,1,1,,,input_layer1,conv1,0,1228800.0,,1088.78,367383,,1,1,1,8,1,1,1,,1,1,False,,False,,113.4656753540039,302.57513427734375,yolov5s_seg/normalization1,0,0,1,10.585455000000001,0,3,0.557456374168396,0.418092280626297,0.04727736070228762,6,5120,yolov5s_seg_context_0,False,0.010588025,0,2457600.0,0,8,0.0,255.0,0.003921568859368563,0.003921568859368563,0.0,1.0,8,8,16,0.557456374168396,1.0,0.375,0.08480907725347152,1.0,0.017729010263357856,False,False,False
conv1,conv,640,640,32,3,6,6,2,2,normalization1,conv2,3488.0,357171200,,92.34,4331883,2764800.0,5.0,3.0,4.0,644,4,8.0,,1,1,1,False,,False,combined (SUPER_CONV),1249.5451431274414,6398.322175979614,,0.0,0.0,3.0,10.84847,0,644,0.2782594203948975,0.033728415767351784,0.26002548480796295,13.0,16256,yolov5s_seg_context_0,False,0.01085571,3488,707788800,0,8,0.0,1.0,-13.844256401062012,10.462957382202148,-0.40937936305999756,51.7864875793457,8,8,16,0.6956485509872437,1.0,1.0,0.934471452714674,0.4,0.6500637120199074,False,False,False
conv2,conv,320,320,64,32,3,3,2,2,conv1,conv3 conv4,18496.0,473497600.0,,116.54,3432346,2457600.0,3,1,1,24,3,2,1,1,1,1,False,,False,,302.57513427734375,170.19851684570312,yolov5s_seg/conv2,0,0,1,10.830275,0,22,0.8163687586784363,0.06712610274553299,0.6468457350706138,4,11520,yolov5s_seg_context_0,False,0.01089025,18496.0,943718400.0,23040,8,-0.40937936305999756,51.7864875793457,-1.3677836656570435,1.0659370422363281,-0.41550934314727783,105.53937530517578,8,8,16,0.8163687586784363,1.0,0.8888888888888888,0.7923450379430839,1.0,0.5749739867294344,False,False,False
conv3,conv,160,160,32,64,1,1,1,1,conv2,concat1,2080.0,53248000.0,,406.23,984661,819200.0,1,1,1,32,4,4,1,1,1,1,False,,False,,151.28756713867188,75.64378356933594,yolov5s_seg/conv3,0,0,1,10.7772775,0,32,0.8579602241516113,0.103995181620121,0.19501911115174386,4,5120,yolov5s_seg_context_0,False,0.0109056325,2080.0,104857600.0,0,8,-0.41550934314727783,105.53937530517578,-1.032558798789978,0.5101445317268372,-0.683563232421875,24.217668533325195,8,8,16,0.8579602241516113,1.0,1.0,0.22730553895384523,1.0,0.19501911115174386,False,False,False
conv4,conv,160,160,32,64,1,1,1,1,conv2,conv5 ew_add1,2080.0,53248000.0,,406.23,984661,819200.0,1,1,1,32,4,1,1,1,1,1,False,,False,,151.28756713867188,75.64378356933594,yolov5s_seg/conv4,0,0,1,10.7788775,0,32,0.8579602241516113,0.103995181620121,0.19501911115174386,1,5120,yolov5s_seg_context_0,False,0.0109072325,2080.0,104857600.0,0,8,-0.41550934314727783,105.53937530517578,-1.098171591758728,0.19555547833442688,-0.2911243438720703,6.457666873931885,8,8,16,0.8579602241516113,1.0,1.0,0.22730553895384523,1.0,0.19501911115174386,False,False,False
conv5,conv,160,160,32,32,1,1,1,1,conv4,conv6,1056.0,27033600.0,,693.65,576661,409600.0,1,1,1,32,4,1,1,1,1,1,False,,False,,75.64378356933594,75.64378356933594,yolov5s_seg/conv5,0,0,1,10.77092,0,32,0.7546895146369934,0.17757399380207062,0.10046439624525483,128,256,yolov5s_seg_context_0,False,0.0109162575,1056.0,52428800.0,0,8,-0.2911243438720703,6.457666873931885,-5.096344470977783,6.282147407531738,-0.3118055760860443,15.590278625488281,8,8,16,0.7546895146369934,1.0,1.0,0.13312016968140644,1.0,0.10046439624525483,False,False,True
conv6,conv,160,160,32,32,3,3,1,1,conv5,ew_add1,9248.0,236748800.0,,187.63,2131867,1843200.0,2,1,1,16,2,1,1,1,1,1,False,,False,,75.64378356933594,75.64378356933594,yolov5s_seg/conv6,0,0,1,10.82709,0,16,0.8829631209373474,0.04803301393985748,0.4345361912460101,6,5120,yolov5s_seg_context_0,False,0.0109729025,9248.0,471859200.0,20480,8,-0.3118055760860443,15.590278625488281,-0.7448262572288513,0.8048264384269714,-0.3376884460449219,16.884422302246094,8,8,16,0.8829631209373474,1.0,1.0,0.4921340211635448,1.0,0.4345361912460101,False,True,False
ew_add1,ew_add,160,160,32,32,,,,,conv4 conv6,concat1,0,409600.0,,1285.27,311219,,1,1,1,32,0,1,0.0,,,,False,,False,,75.64378356933594,0.0,yolov5s_seg/ew_add1,1,0,1,10.7309,0,32,0.6580575108528137,0.32902875542640686,0.047277361939392595,6,5120,yolov5s_seg_context_0,False,0.0109777625,0,819200.0,0,8,N/A,N/A,N/A,N/A,-0.792142927646637,28.06449317932129,8,8,16,0.6580575108528137,1.0,1.0,0.07184381480293904,1.0,0.047277361939392595,False,False,False
concat1,concat,160|160,160|160,64,32|32,,,,,ew_add1 conv3,conv7,0,0,,1596.25,250587,,1,1,1,64,0,1,1,,,,False,,False,,75.64378356933594,0.0,yolov5s_seg/concat1,0,0,1,10.753975,0,64,0.8172810077667236,0.8172810077667236,0.04727736088284009,64,512,yolov5s_seg_context_0,False,0.0110056975,0,0,0,8,N/A,N/A,N/A,N/A,-0.792142927646637,28.06449317932129,8,8,8,0.8172810077667236,1.0,1.0,0.05784713022027604,0.0,0.04727736088284009,False,False,True
conv7,conv,160,160,64,64,1,1,1,1,concat1,conv8,4160.0,106496000.0,,204.08,1960021,1638400.0,1,1,1,64,8,2,1,1,1,1,False,,False,,151.28756713867188,151.28756713867188,yolov5s_seg/conv7,0,0,1,10.7566625,0,64,0.8620315790176392,0.10448867827653885,0.39003823453628184,6,10240,yolov5s_seg_context_0,False,0.0110085825,4160.0,209715200.0,0,8,-0.792142927646637,28.06449317932129,-1.3157962560653687,1.1463569402694702,-0.32435423135757446,16.21771240234375,8,8,16,0.8620315790176392,1.0,1.0,0.4524639746733695,1.0,0.39003823453628184,False,True,False
conv8,conv,160,160,128,64,3,3,2,2,conv7,conv10 conv9,73856.0,472678400.0,,161.21,2481303,1228800.0,6,1,1,24,3,2,1,1,1,1,False,,False,,151.28756713867188,85.09925842285156,yolov5s_seg/conv8,0,0,1,10.8036225,0,22,0.5590611100196838,0.04642722010612488,0.32023025771360203,4,11520,yolov5s_seg_context_0,False,0.011086165,73856.0,943718400.0,0,8,-0.32435423135757446,16.21771240234375,-0.49887436628341675,0.39072751998901367,-0.2927549481391907,8.001968383789062,8,8,16,0.5590611100196838,1.0,0.8888888888888888,0.5728000964014955,1.0,0.2846491179676462,False,False,False
conv10,conv,80,80,64,128,1,1,1,1,conv8,conv11 ew_add2,8256.0,52838400.0,,444.67,899541,819200.0,1,1,1,64,8,2,1,1,1,1,False,,False,,75.64378356933594,37.82189178466797,yolov5s_seg/conv10,0,0,1,10.691265,0,64,0.92491614818573,0.05691791698336601,0.19206428171193443,12,5120,yolov5s_seg_context_0,False,0.0111142725,8256.0,104857600.0,0,8,-0.2927549481391907,8.001968383789062,-0.6017011404037476,0.3836788833141327,-0.2838359475135803,2.128769636154175,8,8,16,0.92491614818573,1.0,1.0,0.20765588544288938,1.0,0.19206428171193443,False,False,False
conv11,conv,80,80,64,64,1,1,1,1,conv10,conv12,4160.0,26624000.0,,816.42,489941,409600.0,1,1,1,64,8,1,1,1,1,1,False,,False,,37.82189178466797,37.82189178466797,yolov5s_seg/conv11,0,0,1,10.6784825,0,64,0.8621446490287781,0.10450237989425659,0.09750956142855395,64,512,yolov5s_seg_context_0,False,0.0111295975,4160.0,52428800.0,0,8,-0.2838359475135803,2.128769636154175,-2.5268537998199463,3.182063579559326,-0.2949230968952179,6.541930675506592,8,8,16,0.8621446490287781,1.0,1.0,0.1131011617811469,1.0,0.09750956142855395,False,False,True
conv12,conv,80,80,64,64,3,3,1,1,conv11,ew_add2,36928.0,236339200.0,,385.55,1037467,921600.0,4,1,1,16,2,1,1,1,1,1,False,,False,,37.82189178466797,37.82189178466797,yolov5s_seg/conv12,0,0,1,10.727482499999999,0,16,0.9144387245178223,0.04935096576809883,0.21900406825607516,6,5120,yolov5s_seg_context_0,False,0.0111801525,36928.0,471859200.0,20480,8,-0.2949230968952179,6.541930675506592,-0.4723397493362427,0.5574312210083008,-0.2863735556602478,4.581976890563965,8,8,16,0.9144387245178223,1.0,1.0,0.23949561887982665,1.0,0.21900406825607516,False,True,False
conv9,conv,80,80,64,128,1,1,1,1,conv8,concat2,8256.0,52838400.0,,444.67,899541,819200.0,1,1,1,64,8,1,1,1,1,1,False,,False,,75.64378356933594,37.82189178466797,yolov5s_seg/conv9,0,0,1,10.691265,0,64,0.92491614818573,0.05691791698336601,0.19206428171193443,6,5120,yolov5s_seg_context_0,False,0.0111142725,8256.0,104857600.0,0,8,-0.2927549481391907,8.001968383789062,-1.8406267166137695,1.7366613149642944,-0.7448621988296509,11.917795181274414,8,8,16,0.92491614818573,1.0,1.0,0.20765588544288938,1.0,0.19206428171193443,False,False,False
ew_add2,ew_add,80,80,64,64,,,,,conv10 conv12,conv13 ew_add3,0,204800.0,,2559.85,156259,,1,1,1,64,0,2,0.0,,,,False,,False,,37.82189178466797,0.0,yolov5s_seg/ew_add2,1,0,1,10.558995,0,64,0.655322253704071,0.3276611268520355,0.023638680925026006,12,5120,yolov5s_seg_context_0,False,0.0111850325,0,409600.0,0,8,-0.2838359475135803,2.128769636154175,N/A,N/A,-0.8819787502288818,4.884805679321289,8,8,16,0.655322253704071,1.0,1.0,0.036071842198877484,1.0,0.023638680925026006,False,False,False
conv13,conv,80,80,64,64,1,1,1,1,ew_add2,conv14,4160.0,26624000.0,,816.42,489941,409600.0,1,1,1,64,8,1,1,1,1,1,False,,False,,37.82189178466797,37.82189178466797,yolov5s_seg/conv13,0,0,1,10.56944,0,64,0.8621446490287781,0.10450237989425659,0.09750956142855395,64,512,yolov5s_seg_context_0,False,0.0112003575,4160.0,52428800.0,0,8,-0.8819787502288818,4.884805679321289,-2.252377510070801,1.4106996059417725,-0.2792917490005493,5.655657768249512,8,8,16,0.8621446490287781,1.0,1.0,0.1131011617811469,1.0,0.09750956142855395,False,False,True
conv14,conv,80,80,64,64,3,3,1,1,conv13,ew_add3,36928.0,236339200.0,,385.55,1037467,921600.0,4,1,1,16,2,1,1,1,1,1,False,,False,,37.82189178466797,37.82189178466797,yolov5s_seg/conv14,0,0,1,10.6189875,0,16,0.9144387245178223,0.04935096576809883,0.21900406825607516,6,5120,yolov5s_seg_context_0,False,0.01125146,36928.0,471859200.0,20480,8,-0.2792917490005493,5.655657768249512,-1.4434585571289062,0.8476194143295288,-0.283247172832489,10.035041809082031,8,8,16,0.9144387245178223,1.0,1.0,0.23949561887982665,1.0,0.21900406825607516,False,True,False
ew_add3,ew_add,80,80,64,64,,,,,ew_add2 conv14,concat2,0,204800.0,,2559.85,156259,,1,1,1,64,0,1,0.0,,,,False,,False,,37.82189178466797,0.0,yolov5s_seg/ew_add3,1,0,1,10.4553025,0,64,0.655322253704071,0.3276611268520355,0.023638680925026006,6,5120,yolov5s_seg_context_0,False,0.01125634,0,409600.0,0,8,N/A,N/A,N/A,N/A,-1.2994085550308228,20.790536880493164,8,8,16,0.655322253704071,1.0,1.0,0.036071842198877484,1.0,0.023638680925026006,False,False,False
concat2,concat,80|80,80|80,128,64|64,,,,,ew_add3 conv9,conv15,0,0,,3505.48,114107,,1,1,1,128,0,1,1,,,,False,,False,,37.82189178466797,0.0,yolov5s_seg/concat2,0,0,1,10.488014999999999,0,128,0.8974032998085022,0.8974032998085022,0.023638680530210246,32,1024,yolov5s_seg_context_0,False,0.0112939325,0,0,0,8,N/A,N/A,N/A,N/A,-1.2994085550308228,20.790536880493164,8,8,8,0.8974032998085022,1.0,1.0,0.026341200812671994,0.0,0.023638680530210246,False,False,True
conv15,conv,80,80,128,128,1,1,1,1,concat2,conv16 concat8,16512.0,105676800.0,,379.61,1053701,819200.0,2,1,1,64,8,3,1,1,1,1,False,,False,,75.64378356933594,75.64378356933594,yolov5s_seg/conv15,0,1,1,10.493902499999999,0,64,0.7895978093147278,0.09718126803636551,0.19206428273172152,9,10240,yolov5s_seg_context_0,False,0.0113001775,16512.0,209715200.0,0,8,-1.2994085550308228,20.790536880493164,-0.9842574000358582,0.9262160062789917,-0.28190869092941284,9.987621307373047,8,8,16,0.7895978093147278,1.0,1.0,0.24324318085229912,1.0,0.19206428273172152,False,True,False
conv16,conv,80,80,256,128,3,3,2,2,conv15,conv17 conv18,295168.0,472268800.0,,235.58,1697903,1053258.0,7,1,1,40,5,2,0.34166665642641936,1,1,1,False,,False,,75.64378356933594,41.36769104003906,yolov5s_seg/conv16,7,0,1,10.6000725,0,37,0.6796619296073914,0.032981861382722855,0.26639686004127505,4,11200,yolov5s_seg_context_0,False,0.01143927,110208,943718400.0,0,8,-0.28190869092941284,9.987621307373047,-0.7011421918869019,0.4443334639072418,-0.30514204502105713,7.475979804992676,8,8,16,0.6796619296073914,1.0,0.9142857142857143,0.39195495353868054,1.0,0.24356284346630858,False,False,False
conv17,conv,40,40,128,256,1,1,1,1,conv16,conv19 ew_add4,32896.0,52633600.0,,1169.66,341981,273067.0,3,1,1,48,6,1,1,1,1,1,False,,False,,37.82189178466797,21.27481460571289,yolov5s_seg/conv17,0,0,1,10.384655,0,43,0.9053134322166443,0.0842152014374733,0.07147007268268331,5,5760,yolov5s_seg_context_0,False,0.01146064,32896.0,104857600.0,0,8,-0.30514204502105713,7.475979804992676,-0.37102749943733215,0.5422638654708862,-0.2785129249095917,3.272526979446411,8,8,16,0.9053134322166443,1.0,0.8888888888888888,0.07894511463028894,1.0,0.0635289534957185,False,False,False
conv18,conv,40,40,128,256,1,1,1,1,conv16,concat3,32896.0,52633600.0,,1169.66,341981,273067.0,3,1,1,48,6,1,1,1,1,1,False,,False,,37.82189178466797,21.27481460571289,yolov5s_seg/conv18,0,0,1,10.384655,0,43,0.9053134322166443,0.0842152014374733,0.07147007268268331,5,5760,yolov5s_seg_context_0,False,0.01146064,32896.0,104857600.0,0,8,-0.30514204502105713,7.475979804992676,-1.6333516836166382,0.9397698640823364,-0.5802882313728333,9.284611701965332,8,8,16,0.9053134322166443,1.0,0.8888888888888888,0.07894511463028894,1.0,0.0635289534957185,False,False,False
conv19,conv,40,40,128,128,1,1,1,1,conv17,conv20,16512.0,26419200.0,,1682.22,237781,204800.0,2,1,1,64,8,1,1,1,1,1,False,,False,,18.910945892333984,18.910945892333984,yolov5s_seg/conv19,0,0,1,10.378160000000001,0,64,0.8747544884681702,0.10766208916902542,0.04801606992212162,32,1024,yolov5s_seg_context_0,False,0.011475515,16512.0,52428800.0,0,8,-0.2785129249095917,3.272526979446411,-2.311292886734009,2.7127585411071777,-0.2905579209327698,12.05815315246582,8,8,16,0.8747544884681702,1.0,1.0,0.05489091002688669,1.0,0.04801606992212162,False,False,True
conv20,conv,40,40,128,128,3,3,1,1,conv19,ew_add4,147584.0,236134400.0,,394.68,1013467,921600.0,4,1,1,32,2,1,0.29166665627132343,1,1,1,False,,False,,18.910945892333984,18.910945892333984,yolov5s_seg/conv20,4,0,1,10.4865875,0,32,0.9568540453910828,0.025259826332330704,0.22386107815478035,6,5120,yolov5s_seg_context_0,False,0.0115869375,43008,471859200.0,20480,8,-0.2905579209327698,12.05815315246582,-0.4338010847568512,0.28089240193367004,-0.2907997965812683,5.4133501052856445,8,8,16,0.9568540453910828,1.0,1.0,0.23395530304027137,1.0,0.22386107815478035,False,True,False
ew_add4,ew_add,40,40,128,128,,,,,conv17 conv20,conv21 ew_add5,0,102400.0,,5077.50,78779,,1,1,1,128,0,1,0.0,,,,False,,False,,18.910945892333984,0.0,yolov5s_seg/ew_add4,1,0,1,10.1525925,0,128,0.6499193906784058,0.3249596953392029,0.011819340383443903,6,5120,yolov5s_seg_context_0,False,0.0115918575,0,204800.0,0,8,N/A,N/A,N/A,N/A,-0.8593631386756897,5.227792263031006,8,8,16,0.6499193906784058,1.0,1.0,0.018185855896846705,1.0,0.011819340383443903,False,False,False
